epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.914,1.46639,4.61144,1.4271,0,0,0,0,1.14438,4.72677,1.18917,5.915e-05,5.915e-05,5.915e-05
2,326.595,1.33147,4.10408,1.32755,0,0,0,0,1.05534,4.60966,1.1091,0.000118796,0.000118796,0.000118796
3,425.771,1.26419,3.47581,1.31477,0.03795,0.04101,0.01852,0.01317,1.03197,4.3547,1.10001,0.000174238,0.000174238,0.000174238
4,520.226,1.41215,2.9084,1.46452,0.03689,0.18481,0.08282,0.06442,1.14321,4.00562,1.18933,0.000225475,0.000225475,0.000225475
5,613.135,1.34821,2.52247,1.37995,0.03078,0.1874,0.12639,0.09581,1.12284,3.9276,1.19174,0.000272509,0.000272509,0.000272509
6,703.704,1.27391,2.49489,1.31505,0.01032,0.25039,0.10761,0.08023,1.11488,3.74841,1.20194,0.000315338,0.000315338,0.000315338
7,795.032,1.2785,2.31517,1.29145,0.95007,0.03364,0.08388,0.06116,1.09573,3.3109,1.20183,0.000353963,0.000353963,0.000353963
8,884.033,1.27165,2.32848,1.31583,0.90546,0.06765,0.12238,0.08406,1.07478,2.82304,1.23244,0.000349895,0.000349895,0.000349895
9,973.719,1.13576,2.07311,1.24226,0.91136,0.11649,0.11022,0.07587,1.06184,2.34878,1.24267,0.00033488,0.00033488,0.00033488
10,1065.36,1.14663,2.09651,1.23413,0.94144,0.10058,0.14383,0.09913,1.05312,2.12403,1.19076,0.000319865,0.000319865,0.000319865
11,1154.62,1.15393,2.07518,1.21125,0.86758,0.17985,0.12691,0.09229,0.99974,2.24686,1.13346,0.00030485,0.00030485,0.00030485
