epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,266.468,1.62537,5.13604,0.01228,0.01997,0.375,0.10797,0.06712,1.13698,7.17853,0.013,0.000105085,0.000105085,0.000105085
28,275.598,1.40828,5.39834,0.01351,0.01997,0.375,0.10797,0.06712,1.13698,7.17853,0.013,0.000104673,0.000104673,0.000104673
29,285.101,1.4707,5.00207,0.01074,0.01919,0.4375,0.15271,0.08989,1.12518,7.15303,0.01269,0.000103932,0.000103932,0.000103932
30,294.249,2.05555,5.69704,0.01591,0.01919,0.4375,0.15271,0.08989,1.12518,7.15303,0.01269,0.000102861,0.000102861,0.000102861
31,303.349,1.42683,4.75323,0.01197,0.01639,0.4375,0.06862,0.03948,1.11501,7.02448,0.01266,0.000101459,0.000101459,0.000101459
32,312.405,1.74518,4.65927,0.01337,0.01639,0.4375,0.06862,0.03948,1.11501,7.02448,0.01266,9.97284e-05,9.97284e-05,9.97284e-05
33,321.83,1.61259,4.79618,0.01499,0.0257,0.625,0.11044,0.04956,1.02503,6.9708,0.01184,9.76676e-05,9.76676e-05,9.76676e-05
34,330.672,1.23245,4.99413,0.01379,0.0257,0.625,0.11044,0.04956,1.02503,6.9708,0.01184,9.52769e-05,9.52769e-05,9.52769e-05
35,340.122,1.28707,4.96948,0.00948,0.02267,0.625,0.14364,0.06843,0.95623,6.92661,0.01101,9.25563e-05,9.25563e-05,9.25563e-05
36,349.735,1.36752,4.41627,0.01099,0.02267,0.625,0.14364,0.06843,0.95623,6.92661,0.01101,8.95059e-05,8.95059e-05,8.95059e-05
37,358.747,1.57821,5.39051,0.02233,0.01891,0.625,0.15379,0.08191,0.90996,6.89922,0.01037,8.61255e-05,8.61255e-05,8.61255e-05
38,367.685,1.4456,4.81264,0.0122,0.01891,0.625,0.15379,0.08191,0.90996,6.89922,0.01037,8.24154e-05,8.24154e-05,8.24154e-05
39,377.33,1.46104,5.22483,0.01654,0.01655,0.625,0.26998,0.14901,0.88615,6.86766,0.00998,7.83753e-05,7.83753e-05,7.83753e-05
40,386.096,1.67746,5.48141,0.01684,0.01655,0.625,0.26998,0.14901,0.88615,6.86766,0.00998,7.40054e-05,7.40054e-05,7.40054e-05
41,395.397,1.68708,6.88841,0.01607,0.01496,0.625,0.35291,0.20287,0.88193,6.8601,0.00997,6.93056e-05,6.93056e-05,6.93056e-05
42,404.628,1.27741,6.66526,0.014,0.01496,0.625,0.35291,0.20287,0.88193,6.8601,0.00997,6.42759e-05,6.42759e-05,6.42759e-05
43,416.006,1.52099,6.84505,0.02537,0.01278,0.625,0.35299,0.22222,0.87515,6.85053,0.00987,5.89164e-05,5.89164e-05,5.89164e-05
44,425.16,1.20423,6.83517,0.01526,0.01278,0.625,0.35299,0.22222,0.87515,6.85053,0.00987,5.3227e-05,5.3227e-05,5.3227e-05
45,433.903,1.20548,6.23044,0.01518,0.01699,0.75,0.29706,0.18762,0.86922,6.84058,0.0098,4.72078e-05,4.72078e-05,4.72078e-05
46,442.177,1.3577,6.71044,0.02064,0.01699,0.75,0.29706,0.18762,0.86922,6.84058,0.0098,4.08586e-05,4.08586e-05,4.08586e-05
47,450.776,1.15472,6.26296,0.0148,0.01532,0.75,0.38051,0.23663,0.85768,6.82674,0.00967,3.41797e-05,3.41797e-05,3.41797e-05
48,459.53,1.20386,6.22998,0.01443,0.01532,0.75,0.38051,0.23663,0.85768,6.82674,0.00967,2.71708e-05,2.71708e-05,2.71708e-05
49,467.997,1.29202,6.45985,0.01587,0.01381,0.75,0.40283,0.25484,0.88445,6.82634,0.00988,1.98321e-05,1.98321e-05,1.98321e-05
50,476.693,1.33307,6.37692,0.01813,0.01381,0.75,0.40283,0.25484,0.88445,6.82634,0.00988,1.21635e-05,1.21635e-05,1.21635e-05
