epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.181,2.2156,5.38529,0.01834,0.03138,0.25,0.04575,0.01172,2.10248,7.95034,0.02664,0,0,0
2,22.3268,2.18192,5.66419,0.01784,0.00013,0.125,0.00303,0.00243,2.00309,7.8631,0.02504,8.16507e-06,8.16507e-06,8.16507e-06
3,36.6712,1.9308,5.67822,0.02103,0.00012,0.125,0.00259,0.00207,1.96128,7.8212,0.02451,1.60003e-05,1.60003e-05,1.60003e-05
4,50.3401,1.9089,5.69201,0.02213,0.00012,0.125,0.00235,0.00188,1.9451,7.80462,0.02481,2.35056e-05,2.35056e-05,2.35056e-05
5,63.2041,1.74587,6.04677,0.01812,0.00012,0.125,0.00186,0.00149,1.95891,7.80764,0.02503,3.06811e-05,3.06811e-05,3.06811e-05
6,72.9258,2.02891,5.54059,0.0179,0.00012,0.125,0.00143,0.00102,1.90184,7.69297,0.02279,3.75266e-05,3.75266e-05,3.75266e-05
7,81.8231,2.11739,5.45467,0.01772,0.04179,0.25,0.04273,0.00918,1.84249,7.65614,0.02196,4.40424e-05,4.40424e-05,4.40424e-05
8,91.5024,2.48158,5.71621,0.02441,0.04179,0.25,0.04258,0.00899,1.75591,7.63503,0.01978,5.02282e-05,5.02282e-05,5.02282e-05
9,100.909,2.0037,5.41693,0.01716,0.04179,0.25,0.06329,0.01922,1.68542,7.5876,0.01902,5.60842e-05,5.60842e-05,5.60842e-05
10,110.086,1.82603,5.3577,0.0154,0.03137,0.25,0.06333,0.01908,1.64856,7.56607,0.01865,6.16103e-05,6.16103e-05,6.16103e-05
11,118.399,1.8704,5.43406,0.01817,0.00012,0.125,0.00134,0.00033,1.4569,7.49968,0.01682,6.68066e-05,6.68066e-05,6.68066e-05
12,128.243,1.83549,6.3899,0.01967,0.00012,0.125,0.00122,0.0003,1.47516,7.51498,0.01677,7.1673e-05,7.1673e-05,7.1673e-05
13,137.597,1.6648,6.20667,0.0208,0.00012,0.125,0.00056,0.0002,1.456,7.50132,0.01634,7.62095e-05,7.62095e-05,7.62095e-05
14,147.529,1.58418,5.66747,0.01319,0.00012,0.125,0.00038,0.00016,1.47001,7.50605,0.01674,8.04162e-05,8.04162e-05,8.04162e-05
15,156.794,1.40804,4.98058,0.0121,0.00012,0.125,0.00028,0.00016,1.39917,7.37078,0.01582,8.42929e-05,8.42929e-05,8.42929e-05
16,166.105,2.05951,7.24191,0.02428,0.05667,0.375,0.08111,0.03715,1.35484,7.34319,0.01562,8.78398e-05,8.78398e-05,8.78398e-05
17,175.421,1.9942,6.26338,0.02135,0.03584,0.25,0.08317,0.04262,1.30184,7.29409,0.0151,9.10569e-05,9.10569e-05,9.10569e-05
18,184.898,1.71001,5.38144,0.01523,0.03584,0.25,0.08317,0.04262,1.30184,7.29409,0.0151,9.39441e-05,9.39441e-05,9.39441e-05
19,194.257,1.65814,4.99226,0.01486,0.05012,0.25,0.08316,0.03952,1.21367,7.31191,0.01425,9.65014e-05,9.65014e-05,9.65014e-05
20,203.573,1.68148,5.03688,0.01689,0.05012,0.25,0.08316,0.03952,1.21367,7.31191,0.01425,9.87288e-05,9.87288e-05,9.87288e-05
21,212.655,1.57195,5.49788,0.01872,0.02096,0.25,0.08317,0.04156,1.20721,7.23927,0.01432,0.000100626,0.000100626,0.000100626
22,221.633,1.44677,5.20529,0.01551,0.02096,0.25,0.08317,0.04156,1.20721,7.23927,0.01432,0.000102194,0.000102194,0.000102194
23,230.899,1.76227,4.75108,0.015,0.01575,0.25,0.08309,0.04566,1.18839,7.22728,0.01398,0.000103432,0.000103432,0.000103432
24,240.252,1.71398,5.3481,0.01406,0.01575,0.25,0.08309,0.04566,1.18839,7.22728,0.01398,0.00010434,0.00010434,0.00010434
25,249.866,1.87218,5.17612,0.01909,0.02235,0.375,0.0955,0.05705,1.16311,7.20101,0.01322,0.000104918,0.000104918,0.000104918
26,258.088,1.56721,5.03318,0.01369,0.02235,0.375,0.0955,0.05705,1.16311,7.20101,0.01322,0.000105166,0.000105166,0.000105166
