epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.058,1.49307,7.29667,0.01,0.00285,0.31342,0.00684,0.00369,0.88815,7.50212,0.00898,7.854e-05,7.854e-05,7.854e-05
2,303.815,1.25346,7.10285,0.00839,0.0056,0.30148,0.03302,0.01418,0.93467,7.35197,0.00952,0.000158801,0.000158801,0.000158801
3,458.134,1.26762,6.05174,0.00857,0.00323,0.40868,0.04049,0.02307,0.94326,7.06365,0.0097,0.000233407,0.000233407,0.000233407
