epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07747,2.22587,3.72225,2.29292,0.00672,0.625,0.01952,0.00431,2.64334,3.85881,2.16078,0,0,0
2,9.40431,2.22793,3.51436,2.05876,0.00511,0.5,0.0189,0.00427,2.46888,3.88735,2.06819,1.20875e-05,1.20875e-05,1.20875e-05
3,14.0251,1.94613,3.75475,2.20315,0.00664,0.625,0.02063,0.00505,2.22987,3.90368,1.98591,2.335e-05,2.335e-05,2.335e-05
4,20.9073,2.67969,3.89585,2.02366,0.00516,0.5,0.02073,0.00569,2.40831,3.83968,2.07908,3.37875e-05,3.37875e-05,3.37875e-05
5,29.2928,2.23032,3.81529,2.09875,0.00517,0.5,0.02618,0.00745,2.08129,3.86099,1.83436,4.34e-05,4.34e-05,4.34e-05
6,33.4197,2.34655,3.88099,2.17856,0.00509,0.5,0.02864,0.00826,1.99599,3.83032,1.80676,5.21875e-05,5.21875e-05,5.21875e-05
7,36.9424,2.18385,3.82079,2.03645,0.00508,0.5,0.03295,0.01056,1.99383,3.80851,1.80404,6.015e-05,6.015e-05,6.015e-05
8,40.796,2.04595,3.55139,1.90097,0.00503,0.5,0.03951,0.01372,1.89927,3.78979,1.74534,6.72875e-05,6.72875e-05,6.72875e-05
9,44.706,2.21152,3.54793,1.86427,0.00503,0.5,0.03951,0.01222,1.86011,3.7596,1.6937,7.36e-05,7.36e-05,7.36e-05
10,48.2898,2.21745,3.77937,1.72156,0.0049,0.5,0.10068,0.0393,1.77994,3.73469,1.63119,7.90875e-05,7.90875e-05,7.90875e-05
11,52.0869,1.73886,3.5566,1.58411,0.00462,0.5,0.26533,0.10551,1.6919,3.7055,1.5612,8.375e-05,8.375e-05,8.375e-05
12,55.7061,1.98487,3.47574,1.86557,0.00455,0.5,0.26533,0.10863,1.59818,3.6614,1.47328,8.75875e-05,8.75875e-05,8.75875e-05
13,59.2698,1.78007,3.24457,1.68065,0.00891,0.75,0.38971,0.19337,1.52354,3.61579,1.43141,9.06e-05,9.06e-05,9.06e-05
14,62.9276,1.98054,3.52536,1.67977,0.01066,0.875,0.39182,0.24391,1.40449,3.59945,1.40977,9.27875e-05,9.27875e-05,9.27875e-05
15,66.5721,1.91502,3.23987,1.85743,0.01086,0.875,0.39876,0.24221,1.35023,3.54757,1.36412,9.415e-05,9.415e-05,9.415e-05
16,69.8133,1.56213,3.19329,1.68021,0.01083,0.875,0.62276,0.34389,1.30339,3.51136,1.30118,9.46875e-05,9.46875e-05,9.46875e-05
17,73.4209,1.67356,3.2538,1.63322,0.01099,0.875,0.74716,0.42749,1.26779,3.47669,1.26972,9.44e-05,9.44e-05,9.44e-05
18,76.6643,1.64664,3.33278,1.44618,0.01099,0.875,0.74716,0.42749,1.26779,3.47669,1.26972,9.32875e-05,9.32875e-05,9.32875e-05
19,80.3828,1.33555,3.26109,1.42363,0.01111,0.875,0.74711,0.40781,1.20314,3.46263,1.23519,9.135e-05,9.135e-05,9.135e-05
20,83.9125,1.45896,3.38903,1.49971,0.01111,0.875,0.74711,0.40781,1.20314,3.46263,1.23519,8.85875e-05,8.85875e-05,8.85875e-05
21,87.1819,1.79385,2.99818,1.40902,0.01159,0.875,0.62682,0.36967,1.15896,3.44469,1.20194,8.5e-05,8.5e-05,8.5e-05
22,91.179,1.2843,2.61614,1.2404,0.01159,0.875,0.62682,0.36967,1.15896,3.44469,1.20194,8.05875e-05,8.05875e-05,8.05875e-05
23,94.7163,1.62813,2.93015,1.46683,0.01171,0.875,0.75188,0.42319,1.11582,3.46264,1.1971,7.535e-05,7.535e-05,7.535e-05
24,101.448,1.30339,2.62322,1.49454,0.01171,0.875,0.75188,0.42319,1.11582,3.46264,1.1971,6.92875e-05,6.92875e-05,6.92875e-05
25,110.509,1.59078,2.90618,1.39769,0.01343,1,0.75673,0.41263,1.1259,3.41586,1.16759,6.24e-05,6.24e-05,6.24e-05
26,120.297,1.49898,2.66615,1.31166,0.01343,1,0.75673,0.41263,1.1259,3.41586,1.16759,5.46875e-05,5.46875e-05,5.46875e-05
27,125.146,1.21946,2.60187,1.22784,0.01329,1,0.75803,0.45213,1.09559,3.35729,1.09558,4.615e-05,4.615e-05,4.615e-05
28,129.068,1.2805,2.46234,1.26478,0.01329,1,0.75803,0.45213,1.09559,3.35729,1.09558,3.67875e-05,3.67875e-05,3.67875e-05
29,132.399,1.3439,2.74715,1.35363,0.01356,1,0.75825,0.45282,1.09825,3.34486,1.08052,2.66e-05,2.66e-05,2.66e-05
30,134.41,1.31395,2.67844,1.15245,0.01356,1,0.75825,0.45282,1.09825,3.34486,1.08052,1.55875e-05,1.55875e-05,1.55875e-05
