epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.227,1.53461,7.169,0.0103,0.00183,0.29798,0.00635,0.00359,0.92411,7.40827,0.00932,6.921e-05,6.921e-05,6.921e-05
2,350.949,1.36272,6.74938,0.00978,0.00268,0.42576,0.02548,0.01423,0.94447,7.28216,0.00937,0.000141288,0.000141288,0.000141288
3,488.482,1.43011,6.46532,0.00931,0.00278,0.45707,0.03839,0.02529,1.02589,7.07342,0.01025,0.000208291,0.000208291,0.000208291
4,596.332,1.42391,5.67267,0.00908,0.00238,0.4404,0.05303,0.03423,1.12226,6.60002,0.01085,0.000270219,0.000270219,0.000270219
5,683.215,1.58277,4.93106,0.00942,0.94264,0.03889,0.04278,0.02511,1.35868,6.06176,0.01345,0.000327071,0.000327071,0.000327071
