epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.869,1.62139,7.49048,0.01179,0.0017,0.3018,0.00414,0.00224,0.85314,7.85434,0.00932,5.383e-05,5.383e-05,5.383e-05
2,237.917,1.46805,7.104,0.00949,0.00233,0.31552,0.01221,0.00633,0.87977,7.80126,0.00913,0.000111543,0.000111543,0.000111543
3,388.375,1.29809,6.65125,0.0088,0.00266,0.32906,0.01695,0.01046,0.91891,7.73824,0.00929,0.000165197,0.000165197,0.000165197
