epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52443,2.09538,5.20483,0.02843,0.00249,0.375,0.0042,0.00042,2.22512,5.20127,0.03376,0,0,0
2,9.71158,1.87551,5.30646,0.02128,0.00254,0.375,0.00558,0.00056,2.20236,5.19396,0.03331,1.20875e-05,1.20875e-05,1.20875e-05
3,13.2048,1.93626,6.05202,0.02869,0.00258,0.375,0.00386,0.00039,2.15703,5.17731,0.03251,2.335e-05,2.335e-05,2.335e-05
4,18.1336,2.50608,5.22048,0.02226,0.00262,0.375,0.00569,0.00057,2.08938,5.154,0.03179,3.37875e-05,3.37875e-05,3.37875e-05
5,22.3143,2.14648,5.04967,0.02038,0.00265,0.375,0.00561,0.00064,2.06678,5.15168,0.03121,4.34e-05,4.34e-05,4.34e-05
