epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.7745,1.67316,4.72491,1.50226,0.00213,0.4003,0.00326,0.00111,1.16217,4.48685,1.21252,4.614e-05,4.614e-05,4.614e-05
2,181.509,1.51966,4.28202,1.39966,0.00492,0.33878,0.02564,0.01235,1.24802,4.47228,1.18806,9.79906e-05,9.79906e-05,9.79906e-05
3,282.544,1.60351,3.37018,1.34589,0.00605,0.59951,0.04918,0.02804,1.36318,4.17024,1.18548,0.00014771,0.00014771,0.00014771
4,409.224,1.4117,2.59781,1.2743,0.00693,0.59875,0.0633,0.03878,1.25,3.84835,1.12326,0.000195297,0.000195297,0.000195297
5,503.611,1.42771,2.49901,1.29492,0.00622,0.59649,0.06345,0.03683,1.17885,3.74882,1.13189,0.000240752,0.000240752,0.000240752
